Q1_Logical_Problems,Q2_Physical_Structures,Q3_Health_Wellbeing,Q4_Visual_Designs,Q5_Machines_Tools,Q6_Programming,Q7_Construction_Projects,Q8_Innovative_Solutions,Q9_Data_Statistics,Q10_Infrastructure,Q11_Patient_Care,Q12_New_Technologies,Q13_Models_Blueprints,Q14_Human_Biology,Q15_Creative_Arts,Interest
4,1,3,4,3,4,2,3,4,1,3,4,3,2,3,1
3,3,4,2,4,3,3,2,4,3,3,4,2,4,2,3
4,3,3,3,2,4,2,3,4,1,4,3,1,3,4,2
2,3,3,3,4,1,4,4,1,3,3,1,4,4,3,0
3,3,3,4,1,3,1,3,4,2,3,3,2,4,4,2
4,4,1,3,3,4,3,4,4,4,2,4,4,2,2,4
4,4,2,3,3,3,4,4,3,3,1,4,4,1,1,4
4,3,1,4,4,4,4,4,4,3,1,4,3,1,1,4
3,2,4,4,3,3,1,4,4,1,3,3,3,2,3,1
3,3,4,4,2,4,2,3,3,2,4,4,2,4,3,2
4,1,4,4,4,4,2,4,3,1,3,4,4,2,3,1
3,4,3,1,3,3,3,2,4,3,4,4,1,4,2,3
4,3,3,3,2,3,2,3,4,1,3,3,2,4,3,2
4,4,3,2,4,4,4,2,4,4,4,3,1,3,1,3
3,1,3,3,4,3,1,3,3,2,4,4,3,2,4,1
1,4,3,4,3,1,4,4,2,4,3,1,4,3,3,0
1,3,4,3,4,1,4,3,2,4,3,1,3,3,4,0
4,3,3,4,2,4,1,3,3,2,3,4,1,4,4,2
4,4,4,1,3,4,4,1,4,4,3,3,2,4,1,3
3,3,2,3,3,3,3,4,4,3,1,3,3,2,1,4
3,3,4,2,3,4,4,2,4,3,4,3,2,4,2,3
3,4,1,3,3,3,4,3,4,3,1,3,3,2,2,4
3,4,1,4,3,4,4,3,3,4,2,4,3,1,2,4
1,4,3,4,4,2,3,3,2,3,3,2,4,3,3,0
3,2,4,4,3,4,2,3,3,1,4,4,3,1,3,1
3,4,4,3,2,3,1,4,3,1,3,4,1,3,4,2
4,2,4,4,3,3,2,4,3,2,3,4,3,1,4,1
4,4,3,1,3,4,4,2,3,3,4,3,2,4,2,3
3,3,1,4,4,4,4,4,3,3,2,3,3,2,2,4
4,1,3,3,4,4,1,4,4,2,4,3,4,1,3,1
1,3,3,3,3,2,4,3,2,3,4,1,3,3,3,0
1,3,3,3,4,1,3,4,2,3,3,1,3,3,4,0
3,4,3,4,1,3,2,4,3,1,4,3,1,3,3,2
4,1,4,4,3,4,2,4,4,1,4,3,4,1,3,1
4,2,3,4,4,3,1,4,4,2,4,3,4,2,4,1
4,4,4,1,4,3,4,2,3,3,4,3,1,4,1,3
4,4,2,3,3,4,4,4,4,4,1,4,4,2,1,4
4,3,3,2,3,4,3,1,4,3,4,4,1,3,2,3
4,4,3,4,1,3,1,4,4,1,3,4,1,3,4,2
3,3,4,4,2,4,1,3,4,2,4,4,1,4,3,2
3,4,2,4,4,4,4,4,3,4,2,3,4,2,2,4
1,4,4,3,4,1,3,4,2,4,3,1,4,3,4,0
4,1,4,3,4,4,1,3,4,1,4,4,4,1,3,1
4,4,4,3,2,3,2,4,4,2,4,4,1,3,4,2
3,4,3,4,1,3,1,3,3,1,3,4,2,3,3,2
1,4,3,4,3,1,4,4,2,4,4,1,4,4,4,0
3,3,3,1,3,3,4,1,3,4,4,4,1,4,2,3
3,4,3,3,1,4,2,4,3,2,3,4,2,4,4,2
2,4,4,4,4,1,3,3,2,4,3,2,4,4,4,0
4,3,4,3,2,3,1,4,3,2,3,4,1,4,3,2
4,4,3,4,1,3,1,4,4,2,4,4,2,4,3,2
4,3,3,1,4,4,4,1,4,4,3,3,1,3,1,3
4,2,4,4,3,4,1,3,3,1,4,3,3,2,4,1
3,4,3,1,4,4,4,1,4,3,3,3,1,3,2,3
2,3,3,4,3,1,4,4,2,3,3,1,3,4,3,0
4,1,4,3,3,3,2,4,4,1,4,3,3,2,4,1
3,4,4,4,1,4,2,4,3,2,4,4,2,4,3,2
4,4,3,2,3,4,3,2,3,4,3,3,1,3,1,3
3,4,1,4,3,3,4,4,3,3,2,4,3,2,2,4
1,4,4,3,4,2,4,3,1,4,3,2,4,3,3,0
3,3,4,2,3,4,3,2,4,3,4,4,2,4,1,3
4,2,3,4,4,3,1,4,3,2,4,3,4,2,4,1
3,2,3,3,4,3,2,4,3,2,3,4,3,2,4,1
4,2,4,4,4,3,2,3,4,1,3,4,4,1,3,1
